DIM,Time,Time,Time
4,      0.0303,      0.0308,      0.0321
8,      0.0269,      0.0291,      0.0271
16,      0.0342,      0.0313,      0.0312
32,      0.0295,      0.0276,      0.0316
64,      0.0255,      0.0302,      0.0261
128,      0.0271,      0.0313,      0.0335
256,      0.0265,      0.0268,      0.0349
