DIM,Time,Time,Time
4,      0.0664,      0.0672,      0.0697
8,      0.0691,      0.0702,      0.0708
16,      0.0809,      0.0819,      0.0820
32,      0.0775,      0.0834,      0.0812
64,      0.0699,      0.0914,      0.0726
128,      0.0658,      0.0854,      0.0669
256,      0.0665,      0.0700,      0.0678
